Molecule ChEMBL ID,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3421950,8e,COc1cc(C=C2C(=O)N(CC(C)C)C(=O)N(CC(C)C)C2=O)ccc1O,Inhibition,'=',96.43,%,,,,UO_0000187,,,,,0,CHEMBL3424787,Inhibition of P300 (unknown origin) using histone H3/[acetyl-3H]-acetyl coenzyme A as substrate at 100 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL3421912,3b,C=CCN1C(=O)C(C(=O)c2ccc(O)cc2)C(=O)N(CC=C)C1=O,Inhibition,'=',19.1,%,,,,UO_0000187,,,,,0,CHEMBL3424787,Inhibition of P300 (unknown origin) using histone H3/[acetyl-3H]-acetyl coenzyme A as substrate at 100 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL4299337,1.1; H3-CoA-20,CNC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)N[C@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@H](C)O)[C@H](C)O)[C@H](C)O,IC50,'=',200000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3778082,Inhibition of full length recombinant human FLAG-tagged p300 expressed in baculovirus expression system using histone substrate incubated for 10 mins by radiometric gel assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3774308,1,Scientific Literature,J Med Chem,2016,None,,,
CHEMBL3774884,7,C=C(C)[C@@H](/C=C/C(C)C)C[C@@]12C[C@@H](/C=C\C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,IC50,'=',7000,nM,5.16,,,UO_0000065,8.55,0.16,-3.48,4.61,0,CHEMBL3778088,Inhibition of full length recombinant human His6-tagged p300 expressed in baculovirus infected Sf21 cells using N-terminal H3 peptide substrate after 10 mins by radiometric filter binding assay in presence of [3H]acetyl-CoA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3774308,1,Scientific Literature,J Med Chem,2016,CHEMBL4106362,,,
CHEMBL3774491,11.1; NK13650B,N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)c(OCC[C@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O)c2)NC1=O,IC50,'=',22,nM,7.66,,,UO_0000065,12.58,0.24,10.03,2.46,0,CHEMBL3778085,Inhibition of human recombinant C-terminal GST-tagged p300 (1195 to 1673 residues) expressed in competent Escherichia coli DH5alpha cells using histone substrate after 30 mins by scintillation counting method in presence of [3H]acetyl-CoA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3774308,1,Scientific Literature,J Med Chem,2016,None,,,
CHEMBL246811,CPTH2,Clc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,Inhibition,'=',61,%,,,,UO_0000187,,,,,0,CHEMBL3269132,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 400 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL386941,2g,c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,Inhibition,'=',56,%,,,,UO_0000187,,,,,0,CHEMBL3269131,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 200 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL1797936,C646,CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3803996,Inhibition of P300 in human HepG2 cells using H3K27 as substrate at 20 to 40 uM incubated for 24 hrs by Western blot analysis in presence of BSA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3797061,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307718,,,
CHEMBL3735420,11e,CCCCCCCCCCCCCCCc1ccc(O)c(C(=O)O)c1,Inhibition,'=',85,%,,,,UO_0000187,,,,,0,CHEMBL3738206,Inhibition of human recombinant Histone acetyltransferase p300 catalytic domain (1284-1672 residues) using [3H]Acetyl-CoA and histone H3 substrate at 50 uM after 1 hr by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3734689,1,Scientific Literature,Eur J Med Chem,2015,None,,,
CHEMBL3736407,8a,O=C(O)c1c(O)cccc1CCCCCO,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL3738206,Inhibition of human recombinant Histone acetyltransferase p300 catalytic domain (1284-1672 residues) using [3H]Acetyl-CoA and histone H3 substrate at 50 uM after 1 hr by liquid scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3734689,1,Scientific Literature,Eur J Med Chem,2015,None,,,
CHEMBL33778,94,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,IC50,'=',8500,nM,5.07,,,UO_0000065,14.55,0.28,-1.65,8.81,1,CHEMBL3391513,Inhibition of His6-tagged recombinant full length p300 (unknown origin) expressed in baculovirus infected insect Sf21 cells using [3H]acetyl-CoA as substrate preincubated for 10 mins followed by substrate addition measured after 10 mins by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3390834,1,Scientific Literature,Medchemcomm,2012,CHEMBL4106362,,,
CHEMBL576321,13,Nc1ccc(O)c2ccccc12,IC50,'=',1400,nM,5.85,,,UO_0000065,36.77,0.67,3.72,12.66,0,CHEMBL4139705,Inhibition of KAT3B catalytic domain (1284 to 1673 residues) (unknown origin) using SGRGKGGKGLGKGGAKRHRK-NH2 as substrate after 5 mins in presence of Ac-CoA by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4138110,1,Scientific Literature,Eur J Med Chem,2017,None,,,
CHEMBL4170165,20,COc1cc(O)c2ccccc2c1N,IC50,'=',52000,nM,4.28,,,UO_0000065,22.64,0.42,2.14,7.72,0,CHEMBL4139705,Inhibition of KAT3B catalytic domain (1284 to 1673 residues) (unknown origin) using SGRGKGGKGLGKGGAKRHRK-NH2 as substrate after 5 mins in presence of Ac-CoA by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4138110,1,Scientific Literature,Eur J Med Chem,2017,None,,,
CHEMBL4208129,26,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccccn1)c1ccc(CS(C)(=O)=O)cc1-2,Activity,'=',0,%,,,,UO_0000187,,,,,0,CHEMBL4194920,Binding affinity to human EP300 expressed in bacterial system assessed as remaining binding level at 1 uM by BROMOscan assay relative to control,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4190379,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
CHEMBL2419973,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1795801,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1391552,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3421936,6a,C=CCN1C(=O)C(Cc2ccccc2)C(=O)N(CC=C)C1=O,Inhibition,'=',28.9,%,,,,UO_0000187,,,,,0,CHEMBL3424787,Inhibition of P300 (unknown origin) using histone H3/[acetyl-3H]-acetyl coenzyme A as substrate at 100 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL3421940,7b,O=C1C(=Cc2ccc(O)cc2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1,Inhibition,,,%,,,Active,UO_0000187,,,,,0,CHEMBL3424793,Inhibition of P300 in human COS7 cells at 30 uM up to 40 mins by Histac FRET analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-7,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3421539,1,Scientific Literature,J Med Chem,2015,CHEMBL3307648,,,
CHEMBL505121,Lys-CoA,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,IC50,'=',500,nM,6.3,,,UO_0000065,6.33,0.13,8.89,1.41,1,CHEMBL4269213,Inhibition of recombinant FLAG-tagged human P300 expressed in Baculovirus expression system using histone peptide as substrate after 10 mins in presence of [14C]-acetyl CoA by phosphorimaging analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4265983,1,Scientific Literature,Bioorg Med Chem,2018,None,,,
CHEMBL3734823,C646,CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C/c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,Ki,'=',400,nM,6.4,,,UO_0000065,14.36,0.26,1.42,5.07,0,CHEMBL4192129,Inhibition of VMA intein chitin binding domain-fused p300 HAT domain (1287 to 1652 residues) (unknown origin) expressed in Escherichia coli BL21(RIL)-DE3 using H4-15 and acetyl-coA as substrate preincubated for 10 mins followed by substrate addition in presence of NAD by alpha-ketoglutarate dehydrogenase enzyme coupled spectrophotometric assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4190249,1,Scientific Literature,Eur J Med Chem,2017,None,,,
CHEMBL4521096,V,Cc1cc(C)cc(Nc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,Inhibition,'=',40,%,,,,UO_0000187,,,,,0,CHEMBL4310107,Inhibition of human P300 (1040 to 1161 residues) expressed in bacterial expression system at 10 uM relative to control,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4308848,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL1214673,19,CCCCCCCCCCc1cc(O)cc(O)c1C(=O)O,Inhibition,'<=',35,%,,,,UO_0000187,,,,,0,CHEMBL1938101,Inhibition of human recombinant His-tagged p300 HAT domain expressed in Escherichia coli BL21(DE3) cells using [14C]Ac-AoA and histone H4 as substrate at 200 uM after 5 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL1933039,1,Scientific Literature,Eur J Med Chem,2012,None,,,
CHEMBL4162478,4,C=C1[C@@H](O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@]35O[C@]4([C@H](C)CC[C@@H](C)C(C)C)CCC(=O)[C@@H]5C[C@@H]12,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4150899,Inhibition of human p300 expressed in Escherichia coli incubated for 15 mins followed by [3H]acetyl-CoA/histone addition,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4145648,1,Scientific Literature,J Nat Prod,2018,None,,,
CHEMBL4282264,A-485,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,IC50,'=',60,nM,7.22,,,UO_0000065,13.46,0.26,3.54,6.68,1,CHEMBL4325425,Inhibition of recombinant human N-terminal 6His-FLAG-tagged p300 BHC domain (1036 to 1822 residues) expressed in baculovirus infected Sf9 insect cells using biotinylated-histone H4 peptide as substrate preincubated for 30 mins followed by substrate addition and measured after 1 hr by acetyl-CoA by TR-FRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4321876,1,Scientific Literature,J Med Chem,2020,CHEMBL3308860,,,
CHEMBL4566439,B019; CCDC 1946223,CNC(=O)Nc1ccc2c(c1)CC[C@@]21NC(=O)N(CC(=O)N2Cc3cc(F)ccc3OC[C@H]2C(F)(F)F)C1=O,IC50,'>',100,nM,,,,UO_0000065,,,,,0,CHEMBL4325427,Inhibition of p300 (unknown origin) using histone H3 (1 to 21 residues) as substrate preincubated for 15 mins followed by substrate and [3H]acetyl-CoA addition and measured after 60 mins by scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4321876,1,Scientific Literature,J Med Chem,2020,None,,,
CHEMBL4173488,28; CF53,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12,Kd,'=',110,nM,6.96,,,UO_0000065,15.69,0.29,1.91,6.52,0,CHEMBL4151024,Binding affinity to human EP300 (A1040 to G1161 residues) expressed in bacterial expression system by BROMOScan assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL4145654,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL1934599,6c,CCCCCOc1ccc(CCc2cccc(O)c2C(=O)O)cc1C(C)=O,Inhibition,'<=',35,%,,,,UO_0000187,,,,,0,CHEMBL1938101,Inhibition of human recombinant His-tagged p300 HAT domain expressed in Escherichia coli BL21(DE3) cells using [14C]Ac-AoA and histone H4 as substrate at 200 uM after 5 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL1933039,1,Scientific Literature,Eur J Med Chem,2012,None,,,
CHEMBL455368,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2171189,A36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2163602,6k,CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccs1,Activity,'=',78,%,,,,UO_0000187,,,,,0,CHEMBL2169671,Inhibition of P300 CH1 domain-mediated HIF1 transcriptional activity in human LN229-V6R cells assessed as remaining activity at 2.5 uM incubated for 1 hr under normoxia followed by 24 hrs under hypoxia by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,LN229-V6R,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL2163270,1,Scientific Literature,J Med Chem,2012,None,,,
CHEMBL2163592,6a,CC(C)N(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1,Activity,'=',55,%,,,,UO_0000187,,,,,0,CHEMBL2169671,Inhibition of P300 CH1 domain-mediated HIF1 transcriptional activity in human LN229-V6R cells assessed as remaining activity at 2.5 uM incubated for 1 hr under normoxia followed by 24 hrs under hypoxia by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,LN229-V6R,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL2163270,1,Scientific Literature,J Med Chem,2012,None,,,
CHEMBL457534,CPTH6,CC1CC/C(=N/Nc2nc(-c3ccc(Cl)cc3)cs2)C1,Inhibition,'=',27,%,,,,UO_0000187,,,,,0,CHEMBL3269130,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 100 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL3263544,6c,CC(C)=NNc1nc(-c2ccc(Cl)cc2)cc(=O)[nH]1,Inhibition,'=',7,%,,,,UO_0000187,,,,,0,CHEMBL3269130,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 100 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL3263501,1e,CCC(C)/C(C)=N/Nc1nc(-c2ccc(Cl)cc2)cs1,Inhibition,'=',2,%,,,,UO_0000187,,,,,0,CHEMBL3269130,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 100 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL3263515,1z,C/C(=N/Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1,Inhibition,'=',7,%,,,,UO_0000187,,,,,0,CHEMBL3269130,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 100 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL3263553,6l,CC1CC/C(=N/Nc2nc(-c3ccc(Br)cc3)cc(=O)[nH]2)C1,Inhibition,'=',12,%,,,,UO_0000187,,,,,0,CHEMBL3269130,Inhibition of recombinant human p300 catalytic domain (1284 to 1673 aa) using histone H3 at 100 uM after 1 hr by radiochemical assay in presence of [acetyl-3H]-acetyl coenzyme A,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3259575,1,Scientific Literature,Eur J Med Chem,2014,None,,,
CHEMBL33778,4,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,IC50,'=',8500,nM,5.07,,,UO_0000065,14.55,0.28,-1.65,8.81,1,CHEMBL3778088,Inhibition of full length recombinant human His6-tagged p300 expressed in baculovirus infected Sf21 cells using N-terminal H3 peptide substrate after 10 mins by radiometric filter binding assay in presence of [3H]acetyl-CoA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3774308,1,Scientific Literature,J Med Chem,2016,CHEMBL4106362,,,
CHEMBL3774466,4.2; CTPB,CCCCCCCCCCCCCCCc1cccc(OCC)c1C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,IC50,'=',275000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3778088,Inhibition of full length recombinant human His6-tagged p300 expressed in baculovirus infected Sf21 cells using N-terminal H3 peptide substrate after 10 mins by radiometric filter binding assay in presence of [3H]acetyl-CoA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL3784,Histone acetyltransferase p300,Homo sapiens,SINGLE PROTEIN,CHEMBL3774308,1,Scientific Literature,J Med Chem,2016,CHEMBL4106362,,,
